,0,1
0,Crossing,22.26894234598474
1,Finishing,13.804007597484679
2,Heading_Accuracy,14.88439608288849
3,Short_Passing,68.51399513610708
4,Volleys,16.063693612418753
5,Dribbling,34.862873437296116
6,Curve,22.975026641578797
7,FK_Accuracy,14.759494879934971
8,Long_Passing,31.65448846669991
9,Ball_Control,78.64427171933103
10,Acceleration,8.130514502647936
11,Sprint_Speed,9.269875962724955
12,Agility,10.341851519710941
13,Reactions,107.09920145269481
14,Balance,3.8008872943583603
15,Shot_Power,24.347337193593567
16,Jumping,5.707225444782633
17,Stamina,23.779806098268413
18,Strength,8.249751213483089
19,Long_Shots,18.672040085529233
20,Aggression,14.261438210903615
21,Interceptions,7.989446628356933
22,Positioning,19.044090253089557
23,Vision,28.774388960670336
24,Penalties,10.911047783971744
25,Composure,71.5938802618016
26,Defensive_Awareness,8.642250539074269
27,Standing_Tackle,6.649793492144709
28,Sliding_Tackle,5.833346662684143
